Release.date,Serial_nr,Signal,Length_mm,Weight_kg,Group,Release.site
2014-10-10 00:00:00,A69-9004-481,481,384,0.91,A,Artificial Reef
2014-10-10 00:00:00,A69-9004-483,483,389,0.91,A,Artificial Reef
2014-10-10 00:00:00,A69-9004-489,489,375,0.98,A,Natural Reef
2014-11-07 00:00:00,A69-9004-492,492,337,,B,Artificial Reef
2014-11-07 00:00:00,A69-9004-493,493,280,,B,Artificial Reef
2014-11-07 00:00:00,A69-9004-494,494,264,,B,Artificial Reef
2014-11-07 00:00:00,A69-9004-495,495,284,,B,Artificial Reef
2014-11-07 00:00:00,A69-9004-496,496,318,,B,Artificial Reef
2014-11-07 00:00:00,A69-9004-497,497,311,,B,Artificial Reef
2014-05-02 00:00:00,A69-9002-10473,10473,451,1.7,B,Artificial Reef
2014-05-02 00:00:00,A69-9002-10474,10474,390,1,B,Artificial Reef
2014-05-02 00:00:00,A69-9002-10480,10480,469,1.8,B,Natural Reef
2014-10-10 00:00:00,A69-9004-485,485,481,1.67,B,Artificial Reef